Date,Weekday,Holiday Name,Holiday Type
1 Jan,Tuesday,New Year's Day,National holiday
2 Jan,Wednesday,January 2 Bank Holiday,Bank holiday
3 Jan,Thursday,January 3 Bank Holiday,Bank holiday
14 Jan,Monday,Coming of Age Day,National holiday
11 Feb,Monday,National Foundation Day,National holiday
14 Feb,Thursday,Valentine's Day,Observance
3 Mar,Sunday,Dolls' Festival/Girls' Festival,Observance
21 Mar,Thursday,March Equinox,Season
21 Mar,Thursday,Spring Equinox,National holiday
29 Apr,Monday,Shōwa Day,National holiday
30 Apr,Tuesday,Coronation Day holiday,National holiday
1 May,Wednesday,Coronation Day,National holiday
2 May,Thursday,Coronation Day holiday,National holiday
3 May,Friday,Constitution Memorial Day,National holiday
4 May,Saturday,Greenery Day,National holiday
5 May,Sunday,Children's Day,National holiday
6 May,Monday,Children's Day observed,National holiday
22 Jun,Saturday,June Solstice,Season
7 Jul,Sunday,Star Festival,Observance
15 Jul,Monday,Sea Day,National holiday
6 Aug,Tuesday,Hiroshima Memorial Day,Observance
9 Aug,Friday,Nagasaki Memorial Day,Observance
11 Aug,Sunday,Mountain Day,National holiday
12 Aug,Monday,Mountain Day observed,National holiday
16 Sep,Monday,Respect for the Aged Day,National holiday
23 Sep,Monday,September Equinox,Season
23 Sep,Monday,Autumn Equinox,National holiday
14 Oct,Monday,Health and Sports Day,National holiday
3 Nov,Sunday,Culture Day,National holiday
4 Nov,Monday,Culture Day observed,National holiday
15 Nov,Friday,7-5-3 Day,Observance
23 Nov,Saturday,Labor Thanksgiving Day,National holiday
22 Dec,Sunday,December Solstice,Season
25 Dec,Wednesday,Christmas,Observance
31 Dec,Tuesday,December 31 Bank Holiday,Bank holiday